dnarun_name	germplasm_name	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	ref_value
PYT-Cold--9	PYT-Cold		F1					PYT-Cold		0
Shampakatari-1	Shampakatari		F1					Shampakatari		0
Shampakatari-10	Shampakatari		F1					Shampakatari		0
Shampakatari-11	Shampakatari		F1					Shampakatari		0
Shampakatari-12	Shampakatari		F1					Shampakatari		0
Shampakatari-2	Shampakatari		F1					Shampakatari		0
Shampakatari-3	Shampakatari		F1					Shampakatari		0
Shampakatari-4	Shampakatari		F1					Shampakatari		0
Shampakatari-5	Shampakatari		F1					Shampakatari		0
Shampakatari-6	Shampakatari		F1					Shampakatari		0
Shampakatari-7	Shampakatari		F1					Shampakatari		0
Shampakatari-8	Shampakatari		F1					Shampakatari		0
Shampakatari-9	Shampakatari		F1					Shampakatari		0
Sonamukhi-1	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-10	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-11	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-12	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-2	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-3	Sonamukhi		F1					Sonamukhi		0
Sonamukhi-4	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-5	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-6	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-7	Sonamukhi		F1					Sonamukhi		1
Sonamukhi-8	Sonamukhi		F1					Sonamukhi		0
Sonamukhi-9	Sonamukhi		F1					Sonamukhi		1
WANXIAN7777-P10-1	WANXIAN7777-P10		F1					WANXIAN7777-P10		1
WANXIAN7777-P10-2	WANXIAN7777-P10		F1					WANXIAN7777-P10		1
WANXIAN777-P8-1	WANXIAN777-P8		F1					WANXIAN777-P8		1
WANXIAN777-P8-10	WANXIAN777-P8		F1					WANXIAN777-P8		0
WANXIAN777-P8-2	WANXIAN777-P8		F1					WANXIAN777-P8		1
WANXIAN777-P8-3	WANXIAN777-P8		F1					WANXIAN777-P8		1
WANXIAN777-P8-4	WANXIAN777-P8		F1					WANXIAN777-P8		1
WANXIAN777-P8-5	WANXIAN777-P8		F1					WANXIAN777-P8		0
WANXIAN777-P8-6	WANXIAN777-P8		F1					WANXIAN777-P8		0
WANXIAN777-P8-7	WANXIAN777-P8		F1					WANXIAN777-P8		0
WANXIAN777-P8-8	WANXIAN777-P8		F1					WANXIAN777-P8		1
WANXIAN777-P8-9	WANXIAN777-P8		F1					WANXIAN777-P8		1
